社團名稱,地點
弦樂社,活動中心二樓 社辦十
國樂社,庚心廣場直走右手邊第 1 間
間對面(特勤社,活動中心地下室直走到底右邊第 1
熱音社,活動中心 2 樓 社辦七
未知社團,"庚心廣場左轉走到底右轉第 3 間

曉韻合唱團"
樓社,活動中心 2
未知社團,活動中心
電子音樂社,活動中心 2 樓 社辦九
未知社團,活動中心
德樓社,蘊
中國醫學研究社,屈臣氏直走左邊第 2 間
紫藤花親善社,庚心廣場右邊第 3 間
咖啡社,活動中心 2 樓 社辦一(動態展覽室旁邊)
未知社團,活動中心
圍棋社,地下室 711 正對面
攝影社,活動中心 2 樓 社辦九
桌上遊戲社,屈臣氏直走走到底
未知社團,活動中心
書法社,屈臣氏直走右邊第 1 間
甜點烘焙研究社,活動中心 2 樓 社辦九
音樂遊戲社,活動中心 2 樓 社辦四
德樓社,蘊
技術開源社,庚昀教室一
德樓社,蘊
香水調製社,活動中心 2 樓 社辦九
德樓社,蘊
天文社,庚心逛場直走右手邊
成立目前還沒有社,剛
有氧舞蹈社,地下室 711 正對面
當代舞蹈社,屈臣氏走到底
國術社,庚心廣場直走的左手邊
未知社團,活動中心
合氣道社,庚心廣場直走走到底左手邊第 1 間
劍道社,臣氏直走右手邊第 5 間
未知社團,"地下室 711 正對面直走左手邊第 3 間

壘球隊"
德樓社,蘊
羽球社,地下室 711 正對面
足球社,地下室 711 正對面直走右手邊
網球社,庚心廣場左轉走到底再右轉走到底
德樓社,蘊
社辦二(紫藤花社,活動中心 2 樓
未知社團,活動中心
太極拳研習社,庚心廣場直走右手邊第 1 間
瑜珈社,活動中心 2 樓 社辦三
路跑社,活動中心 2 樓 社辦九
散打搏擊社,地下室 711 正對面直走左手邊
光火藝術社,地下室 711 正對面
間(當代舞蹈社,庚心廣場直走的左手邊第 2
女籃社,實作-活動中心 3 樓
德樓社,蘊
健身社,屈臣氏直走右手邊第 2 間
未知社團,"實作-明德樓健身房

6.宗教服務類
蒲公英工作隊"
未知社團,"庚心廣場右邊第 3 間

校園守護犬志工隊"
慈青社,臣氏直走走到底右手邊第 1 間
崇德青年社,活動中心 2 樓 社辦六
間(弦樂社,庚心廣場直走右手邊第 3
春暉社,活動中心 2 樓 曉韻合唱團隔壁
未知社團,"地下室 711 正對面直走左手邊

光鹽團契"
聖經研究社,臣氏直走右手邊第 4 間
德樓社,蘊
德樓社,蘊
未知社團,"屈臣氏直走右手邊

特勤隊"
未知社團,活動中心
